,Unnamed: 0,subject,task,session,run,ppg,rsp,ecg,eda,biopac,eyetracking,ppg_quality,rsp_quality,ecg_quality,eda_quality,eyetracking_quality,eyetracking_before_interp
26,26,1,PassiveLowVid,04Advice,1,True,True,True,True,True,True,0.9697928305856676,1.0,1.0,1.0,1.0,0.6897225246626415
27,27,1,PassiveMixedVid,04Advice,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.7184351349033011
28,28,1,ActiveHighVid,05Fitness,1,True,True,True,True,True,True,0.904476017722973,1.0,1.0,1.0,0.9872036851275012,0.6185325484398922
29,29,1,ActiveLowVid,05Fitness,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.7154706522815005
30,30,1,ActiveMixedVid,05Fitness,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9965552057967572,0.6607801600971406
31,31,1,PVT,05Fitness,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.722470090917749
32,32,1,PassiveHighVid,05Fitness,1,True,True,True,True,True,True,0.9885161439655789,1.0,1.0,1.0,0.9939617113104077,0.7294582698158157
33,33,1,PassiveLowVid,05Fitness,1,True,True,True,True,True,True,0.9450017982392036,1.0,1.0,1.0,0.9950901459757675,0.6269632816830768
34,34,1,PassiveMixedVid,05Fitness,1,True,True,True,True,True,True,0.8967735828089051,1.0,1.0,1.0,1.0,0.6639191721880527
35,35,1,ActiveHighVid,06Pets,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.6555356105802228
36,36,1,ActiveLowVid,06Pets,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.6100155750904147
37,37,1,ActiveMixedVid,06Pets,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.6832373146443349
38,38,1,PVT,06Pets,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.7047752315086157
39,39,1,PassiveHighVid,06Pets,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.6316775883800888
40,40,1,PassiveLowVid,06Pets,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.6728120937782499
41,41,1,PassiveMixedVid,06Pets,1,True,True,True,True,True,True,0.9914724104290356,1.0,1.0,1.0,0.9964165984742497,0.6415344613678959
42,42,1,ActiveHighVid,07Food,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.6798830586884359
43,43,1,ActiveLowVid,07Food,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.687332141136722
44,44,1,ActiveMixedVid,07Food,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.6748983686183412
45,45,1,PVT,07Food,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9955822881256594,0.6806719610831087
46,46,1,PassiveHighVid,07Food,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.669779320539556
47,47,1,PassiveLowVid,07Food,1,True,True,True,True,True,True,0.9923411471657878,1.0,1.0,1.0,1.0,0.6880299860760078
48,48,1,PassiveMixedVid,07Food,1,True,True,True,True,True,True,0.983745018365902,1.0,1.0,1.0,1.0,0.697454814208696
49,49,1,ActiveHighVid,08Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9915131196874505,0.5570026661739085
50,50,1,ActiveLowVid,08Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9894277314168621,0.5479497256291721
51,51,1,ActiveMixedVid,08Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9601657779420305,0.554237500659944
52,52,1,PVT,08Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.5853065291290587
53,53,1,PassiveHighVid,08Diy,1,True,True,True,True,True,True,0.9643201289629936,1.0,1.0,1.0,0.9541965841296658,0.5563955176601024
54,54,1,PassiveLowVid,08Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9463464368438071,0.5710486547839801
55,55,1,PassiveMixedVid,08Diy,1,True,True,True,True,True,True,0.9918006774957748,1.0,1.0,1.0,0.988950476756079,0.5771157082054835
56,56,1,ActiveHighVid,09Nature,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9435417876564067,0.5013429861147775
57,57,1,ActiveLowVid,09Nature,1,True,True,False,True,True,True,0.9670277904780998,1.0,,1.0,0.8898689025496854,0.5129101126190783
58,58,1,ActiveMixedVid,09Nature,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9520835395427101,0.575228479989442
59,59,1,PVT,09Nature,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.5588897883828523
60,60,1,PassiveHighVid,09Nature,1,True,True,True,True,True,True,0.9836152743855728,1.0,1.0,1.0,0.8414809584457921,0.4611744986372965
61,61,1,PassiveLowVid,09Nature,1,True,True,True,True,True,True,0.9618490218392672,1.0,1.0,1.0,0.8976517208725291,0.4980615231313908
62,62,1,PassiveMixedVid,09Nature,1,True,True,True,True,True,True,0.9273877435383696,1.0,1.0,1.0,0.9151108999359875,0.5408788844674097
63,63,1,ActiveHighVid,10Travel,1,True,True,True,True,True,True,0.9737949101562132,1.0,1.0,1.0,0.9473296950579726,0.4990992298910497
64,64,1,ActiveLowVid,10Travel,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.6643558998792374,0.33769310465430885
65,65,1,ActiveMixedVid,10Travel,1,True,True,True,True,True,True,0.9602100326832512,1.0,1.0,1.0,0.9252718825889558,0.4745967954809418
