MSG	8342432	DISPLAY_COORDS 0 0 1023 767								
MSG	8344122	TRIALID 1								
MSG	8346879	DRIFTCORRECT R RIGHT at 512,384  OFFSET 0.26 deg.  1.5,-13.0 pix.								
MSG	8347536	RECCFG CR 250 2 1 R								
MSG	8347536	ELCLCFG MLRR								
MSG	8347536	GAZE_COORDS 0.00 0.00 1023.00 767.00								
MSG	8347536	THRESHOLDS R 71 146								
MSG	8347536	ELCL_WINDOW_SIZES 176 188 0 0								
MSG	8347536	CAMERA_LENS_FOCAL_LENGTH 38.00								
MSG	8347536	ELCL_PROC ELLIPSE  (5)								
MSG	8347536	ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30								
MSG	8347537	!MODE RECORD CR 250 2 1 R								
ESACC	R	8355565	8355573	12	619.3	598.2	617.7	609.4	0.22	67
SFIX	R	8355577								
EFIX	R	8355577	8355605	32	622.2	606.3	1409			
SSACC	R	8355609								
ESACC	R	8355609	8355621	16	624.7	613.2	632.9	578.8	0.67	86
SFIX	R	8355625								
EFIX	R	8355625	8355665	44	636.8	600.0	1439			
SSACC	R	8355669								
ESACC	R	8355669	8355685	20	643.9	608.5	710.6	577.5	1.24	116
SFIX	R	8355689								
EFIX	R	8355689	8355805	120	706.7	589.7	1430			
SSACC	R	8355809								
ESACC	R	8355809	8355913	108	705.1	572.8	475.0	172.4	8.64	342
SFIX	R	8355917								
EFIX	R	8355917	8356025	112	476.3	216.9	1408			
SSACC	R	8356029								
ESACC	R	8356029	8356041	16	477.0	216.5	479.0	242.9	0.52	75
SFIX	R	8356045								
EFIX	R	8356045	8356117	76	478.9	253.6	1390			
SSACC	R	8356121								
ESACC	R	8356121	8356129	12	480.8	241.6	478.7	243.0	0.04	70
SFIX	R	8356133								
EFIX	R	8356133	8356233	104	480.5	259.1	1410			
SSACC	R	8356237								
ESACC	R	8356237	8356297	64	484.0	242.5	415.5	383.8	2.99	194
SFIX	R	8356301								
EFIX	R	8356301	8356349	52	410.1	410.2	1433			
SSACC	R	8356353								
ESACC	R	8356353	8356361	12	413.3	420.2	416.2	423.2	0.08	59
SFIX	R	8356365								
EFIX	R	8356365	8356473	112	427.6	418.9	1461			
SSACC	R	8356477								
ESACC	R	8356477	8356497	24	439.6	428.6	478.1	454.8	0.81	81
SFIX	R	8356501								
EFIX	R	8356501	8356677	180	467.7	449.7	1480			
SSACC	R	8356681								
ESACC	R	8356681	8356713	36	462.0	464.8	503.3	333.8	2.65	155
SFIX	R	8356717								
EFIX	R	8356717	8356829	116	509.3	354.0	1503			
SSACC	R	8356833								
SBLINK	R	8356877								
EBLINK	R	8356877	8357041	168						
